Bronx Rolling Sales.  All Sales From February 2022 - January 2023,,,,,,,,,,,,,,,,,,, PTS Sales Data as of 02/13/2023 ,
"For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll.         Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data.",,,,,,,,,,,,,,,,,,  ,  ,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4719,51,,A9,1429 HICKS STREET,,10469,1,0,1,"1,710","1,690",1960,1,A9,"435,000",3/18/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4723,1,,A2,3487 MICKLE AVENUE,,10469,1,0,1,"2,003","1,024",1945,1,A2,"20,000",8/15/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4724,16,,A1,3465 KINGSLAND AVENUE,,10469,1,0,1,"2,283","1,105",1920,1,A1,0,5/24/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4729,58,,A5,3411 GUNTHER AVENUE,,10469,1,0,1,"1,709","1,714",1950,1,A5,0,9/10/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4729,58,,A5,3411 GUNTHER AVENUE,,10469,1,0,1,"1,709","1,714",1950,1,A5,0,11/15/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4733,21,,A5,3325 BOUCK AVENUE,,10469,1,0,1,"1,900","1,254",1940,1,A5,0,5/24/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4734,13,,A1,3361 WILSON AVENUE,,10469,1,0,1,"1,900","1,292",1940,1,A1,"705,000",8/31/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4734,114,,A5,3280 BOUCK AVE,,10469,1,0,1,"2,247","1,944",1955,1,A5,"649,000",2/28/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4734,188,,A5,3227 WILSON AVE,,10469,1,0,1,"2,000","1,960",1940,1,A5,"629,000",12/22/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4734,188,,A5,3227 WILSON AVENUE,,10469,1,0,1,"2,000","1,960",1940,1,A5,"450,000",7/18/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4735,38,,A5,3302 WILSON AVENUE,,10469,1,0,1,"2,215","1,620",1930,1,A5,0,8/11/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4735,45,,A5,3328 WILSON AVE,,10469,1,0,1,"1,900","1,254",1930,1,A5,"344,760",2/25/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4735,86,,A5,3318 WILSON AVENUE,,10469,1,0,1,"2,216","1,620",1930,1,A5,0,9/22/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4735,87,,A5,3322 WILSON AVENUE,,10469,1,0,1,"2,367","2,430",1930,1,A5,0,5/6/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4737,26,,A5,3329 FENTON AVENUE,,10469,1,0,1,"1,900","1,406",1945,1,A5,0,7/7/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4737,29,,A5,3323 FENTON AVENUE,,10469,1,0,1,"1,900","1,406",1945,1,A5,0,7/12/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4740,40,,A5,3224 FISH AVENUE,,10469,1,0,1,"2,499","1,736",1935,1,A5,"579,380",12/23/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4741,6,,A5,3253 FENTON AVENUE,,10469,1,0,1,"2,025","1,280",1920,1,A5,0,9/24/22
